domain,domain_link,domain_group,crawled_by,requires_www,status_code,page_crawl_error,logo_found,logo_is_image,image_group,final_groups,logo_scrape_error,logo_link,logo_src,logo_image_type,logo_image_type.1,selected,logo_file_name,id
mazda-autohaus-kramer-kirchberg.de,https://mazda-autohaus-kramer-kirchberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-kramer-kirchberg_de
mazda-autohaus-w-k-kamen.de,https://mazda-autohaus-w-k-kamen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-w-k-kamen_de
mazda-autohaus-tietje-holmb-wedel.de,https://mazda-autohaus-tietje-holmb-wedel.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-tietje-holmb-wedel_de
mazda-autohaus-engelbart-delmenhorst.de,https://mazda-autohaus-engelbart-delmenhorst.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-engelbart-delmenhorst_de
mazda-autohaus-gruendel-doerth.de,https://mazda-autohaus-gruendel-doerth.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-gruendel-doerth_de
mazda-autohaus-wedding-engelskirchen-albertsth.de,https://mazda-autohaus-wedding-engelskirchen-albertsth.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wedding-engelskirchen-albertsth_de
mazda-autohaus-trumpf-wimmelburg.de,https://mazda-autohaus-trumpf-wimmelburg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-trumpf-wimmelburg_de
mazda-autohaus-lohmann-kreuztal.de,https://mazda-autohaus-lohmann-kreuztal.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-lohmann-kreuztal_de
mazda-autohaus-tillack-perleberg.de,https://mazda-autohaus-tillack-perleberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-tillack-perleberg_de
mazda-autohaus-misch-uebach-palenberg.de,https://mazda-autohaus-misch-uebach-palenberg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-misch-uebach-palenberg_de
mazda-autohaus-suedring-datteln.de,https://mazda-autohaus-suedring-datteln.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-suedring-datteln_de
mazda-autohaus-hamester-hamburg-bergedorf.de,https://mazda-autohaus-hamester-hamburg-bergedorf.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hamester-hamburg-bergedorf_de
mazda-autohaus-ruettiger-wallduern.de,https://mazda-autohaus-ruettiger-wallduern.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-ruettiger-wallduern_de
mazda-autohaus-bolluck-goslar.de,https://mazda-autohaus-bolluck-goslar.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-bolluck-goslar_de
mazda-autohaus-wagner-dortmund.de,https://mazda-autohaus-wagner-dortmund.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wagner-dortmund_de
mazda-autohaus-berlenbach-bergischgladbach.de,https://mazda-autohaus-berlenbach-bergischgladbach.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-berlenbach-bergischgladbach_de
mazda-autohaus-eisele-langenau.de,https://mazda-autohaus-eisele-langenau.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-eisele-langenau_de
mazda-autohaus-witthoeft-bad-oldesloe.de,https://mazda-autohaus-witthoeft-bad-oldesloe.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-witthoeft-bad-oldesloe_de
mazda-autohaus-roeser-grossmaischeid.de,https://mazda-autohaus-roeser-grossmaischeid.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-roeser-grossmaischeid_de
mazda-autohaus-klein-bietigheim-bissingen.de,https://mazda-autohaus-klein-bietigheim-bissingen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-klein-bietigheim-bissingen_de
mazda-autohaus-bayer-goessweinstein.de,https://mazda-autohaus-bayer-goessweinstein.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-bayer-goessweinstein_de
mazda-autohaus-ehrlich-aschaffenburg.de,https://mazda-autohaus-ehrlich-aschaffenburg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-ehrlich-aschaffenburg_de
mazda-autohaus-schmidt-oschatz.de,https://mazda-autohaus-schmidt-oschatz.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schmidt-oschatz_de
mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de,https://mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-gerhard-figge-waldeck-hoeringhausen_de
mazda-autohaus-schmidt-grossenhain.de,https://mazda-autohaus-schmidt-grossenhain.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schmidt-grossenhain_de
mazda-autohaus-schneider-sondershausen.de,https://mazda-autohaus-schneider-sondershausen.de,domain_group_5,,True,200.0,,False,,,,,,,,,,,mazda-autohaus-schneider-sondershausen_de
mazda-autohaus-stoelzel-doehlau.de,https://mazda-autohaus-stoelzel-doehlau.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-stoelzel-doehlau_de
mazda-autohaus-kopke-bendel-marl.de,https://mazda-autohaus-kopke-bendel-marl.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-kopke-bendel-marl_de
mazda-autohaus-haeusler-fuerstenfeldbruck.de,https://mazda-autohaus-haeusler-fuerstenfeldbruck.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-haeusler-fuerstenfeldbruck_de
mazda-autohaus-albers-doerpen.de,https://mazda-autohaus-albers-doerpen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-albers-doerpen_de
mazda-autohaus-weiss-niedernhausen.de,https://mazda-autohaus-weiss-niedernhausen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-weiss-niedernhausen_de
mazda-autohaus-schindlbeck-schwandorf.de,https://mazda-autohaus-schindlbeck-schwandorf.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schindlbeck-schwandorf_de
mazda-autohaus-grasdanner-holzkirchen.de,https://mazda-autohaus-grasdanner-holzkirchen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-grasdanner-holzkirchen_de
mazda-autohaus-kalina-gelsenkirchen.de,https://mazda-autohaus-kalina-gelsenkirchen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-kalina-gelsenkirchen_de
mazda-autohaus-hoeffner-clausen.de,https://mazda-autohaus-hoeffner-clausen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hoeffner-clausen_de
mazda-autohaus-goedde-meschede.de,https://mazda-autohaus-goedde-meschede.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-goedde-meschede_de
mazda-autohaus-ahb-gotha.de,https://mazda-autohaus-ahb-gotha.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-ahb-gotha_de
mazda-autohaus-friedmann-steinfeld.de,https://mazda-autohaus-friedmann-steinfeld.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-friedmann-steinfeld_de
mazda-autohaus-gollan-hamm.de,https://mazda-autohaus-gollan-hamm.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-gollan-hamm_de
mazda-autohaus-ubben-aurich.de,https://mazda-autohaus-ubben-aurich.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-ubben-aurich_de
mazda-autohaus-torp-wilhelmshaven.de,https://mazda-autohaus-torp-wilhelmshaven.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-torp-wilhelmshaven_de
mazda-autohaus-schreier-biebergemuend-bieber.de,https://mazda-autohaus-schreier-biebergemuend-bieber.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schreier-biebergemuend-bieber_de
mazda-autohaus-brutschin-lenzkirch.de,https://mazda-autohaus-brutschin-lenzkirch.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-brutschin-lenzkirch_de
mazda-autohaus-mueller-plauen.de,https://mazda-autohaus-mueller-plauen.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-mueller-plauen_de
mazda-autohaus-wilk-kaczmarek-schwerin.de,https://mazda-autohaus-wilk-kaczmarek-schwerin.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wilk-kaczmarek-schwerin_de
mazda-autohaus-schwenke-duisburg.de,https://mazda-autohaus-schwenke-duisburg.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-schwenke-duisburg_de
mazda-autohaus-moellenkamp-rheine.de,https://mazda-autohaus-moellenkamp-rheine.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-moellenkamp-rheine_de
mazda-autohaus-born-ludwigslust.de,https://mazda-autohaus-born-ludwigslust.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-born-ludwigslust_de
mazda-autohaus-lommel-grettstadt.de,https://mazda-autohaus-lommel-grettstadt.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-lommel-grettstadt_de
mazda-autohaus-richter-forst.de,https://mazda-autohaus-richter-forst.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-richter-forst_de
mazda-autohaus-flindt-marschacht.de,https://mazda-autohaus-flindt-marschacht.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-flindt-marschacht_de
mazda-autohaus-hohenfeld-dinslaken.de,https://mazda-autohaus-hohenfeld-dinslaken.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-hohenfeld-dinslaken_de
mazda-autohaus-wuttke-gummersbach.de,https://mazda-autohaus-wuttke-gummersbach.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-wuttke-gummersbach_de
mazda-autohaus-behrens-magdeburg-ottersleben.de,https://mazda-autohaus-behrens-magdeburg-ottersleben.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-behrens-magdeburg-ottersleben_de
mazda-autohaus-henn-weilamrhein.de,https://mazda-autohaus-henn-weilamrhein.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-henn-weilamrhein_de
mazda-autohaus-banaszak-wesel.de,https://mazda-autohaus-banaszak-wesel.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-banaszak-wesel_de
mazda-autohaus-huck-buehl.de,https://mazda-autohaus-huck-buehl.de,domain_group_5,,,200.0,,False,,,,,,,,,,,mazda-autohaus-huck-buehl_de
toyota-buchreiter-eisenstadt.at,https://toyota-buchreiter-eisenstadt.at,domain_group_6,,,904.0,"HTTPSConnectionPool(host='toyota.at', port=443): Max retries exceeded with url: /partner/buchreiter (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))",False,,,,,,,,,,,toyota-buchreiter-eisenstadt_at
toyotabakircilarfethiye.com.tr,https://toyotabakircilarfethiye.com.tr,domain_group_6,,,200.0,,True,True,group_722,,,https://toyotabakircilarfethiye.com.tr/Assets/img/logo.png,/Assets/img/logo.png,png,,,logos\toyotabakircilarfethiye_com_tr.png,toyotabakircilarfethiye_com_tr
toyotabucurestinord.ro,https://toyotabucurestinord.ro,domain_group_6,,,200.0,,False,True,group_1228,,,,,png,,,logos\toyotabucurestinord_ro.png,toyotabucurestinord_ro
toyotasouthern.com,https://toyotasouthern.com,domain_group_6,,,200.0,,True,True,group_366,,,https://toyotasouthern.com/wp-content/uploads/2020/11/logo-toyota.png,https://toyotasouthern.com/wp-content/uploads/2020/11/logo-toyota.png,png,,,logos\toyotasouthern_com.png,toyotasouthern_com
toyotabeerens.be,https://toyotabeerens.be,domain_group_6,,,200.0,,True,True,group_532,,,https://www.toyotabeerens.be/resources/toyota/img/logo_toyota.png,https://www.toyotabeerens.be/resources/toyota/img/logo_toyota.png,png,,,logos\toyotabeerens_be.png,toyotabeerens_be
toyotaderinderekocak.com.tr,https://toyotaderinderekocak.com.tr,domain_group_6,,,200.0,,True,True,group_722,,,https://toyotaderinderekocak.com.tr/Assets/img/logo.png,/Assets/img/logo.png,png,,,logos\toyotaderinderekocak_com_tr.png,toyotaderinderekocak_com_tr
toyota-niederberger.at,https://toyota-niederberger.at,domain_group_6,,,200.0,,True,True,group_53,,,https://www.toyota-niederberger.at/images/Toyota_Logo.svg,https://www.toyota-niederberger.at/images/Toyota_Logo.svg,svg,,,logos\toyota-niederberger_at.svg,toyota-niederberger_at
ebay.cn,https://ebay.cn,domain_group_7,,,200.0,,,True,group_647,,,,https://www.ebay.cn/newcms/style/index/logo.png,png,,,logos\ebay_cn.png,ebay_cn
